Family,Genus,Ids,Notes
Hystricidae,Atherurus,34835,
Hystricidae,Hystrix,10136,
Hystricidae,Trichys,73864,
Chinchillidae,Chinchilla,10151,
Chinchillidae,Lagidium,84622,
Chinchillidae,Lagostomus,10153,
Dinomyidae,Dinomys,108857,
Abrocomidae,Abrocoma,108854,
Abrocomidae,Cuscomys,1567516,
Octodontidae,Aconaemys,183513,
Octodontidae,Octodon,10159,
Octodontidae,Octomys,135582,
Octodontidae,Pipanacoctomys,227729,
Octodontidae,Salinoctomys,1567519,
Octodontidae,Spalacopus,61879,
Octodontidae,Tympanoctomys,61881,
Octodontidae,Octodontomys,170739,
Ctenomyidae,Ctenomys,33551,
Echimyidae,Callistomys,1567506,
Echimyidae,Carterodon,1567512,
Echimyidae,Clyomys,176497,
Echimyidae,Dactylomys,30617,
Echimyidae,Diplomys,1567521,
Echimyidae,Echimys,30620,
Echimyidae,Euryzygomatomys,43324,
Echimyidae,Hoplomys,176500,
Echimyidae,Isothrix,30623,
Echimyidae,Kannabateomys,176502,
Echimyidae,Lonchothrix,176504,
Echimyidae,Makalata,490305,
Echimyidae,Mesomys,30626,
Echimyidae,Myocastor,10156,Myocastor appears the only member of its own family (Myocastoridae) in the NCBI taxonomy
Echimyidae,Olallamys,1400527,
Echimyidae,Pattonomys,1567523,
Echimyidae,Phyllomys,466156,
Echimyidae,Proechimys,10162,
Echimyidae,Santamartamys,1568969,
Echimyidae,Thrichomys,43326,
Echimyidae,Trinomys,42826,
Capromyidae,Capromys,34841,
Capromyidae,Geocapromys,1543401,
Capromyidae,Mesocapromys,1567508,
Capromyidae,Mysateles,1543404,
Capromyidae,Plagiodontia,1163664,
